UBIGEO,ANIO,DISTRITO,POBLACION_TOTAL,PORC_NBI,TOTAL_DELITOS,TASA_DELITOS_10K,Estafa,Extorsión,Hurto,Otros,Robo,Secuestro,Violencia contra la mujer e integrantes
150132,2019,San Juan de Lurigancho,1176583,19.4,31292,265.96,271,67,6619,8018,4566,27,11724
150132,2020,San Juan de Lurigancho,1176583,19.4,22494,191.18,374,70,4342,5895,2385,31,9397
150132,2021,San Juan de Lurigancho,1176583,19.4,25840,219.62,532,130,4939,8352,2733,49,9105
150132,2022,San Juan de Lurigancho,1176583,19.4,31977,271.78,792,893,6191,10761,4021,55,9264
150132,2023,San Juan de Lurigancho,1176583,19.4,36680,311.75,1001,1334,8034,10259,6580,46,9426
150132,2024,San Juan de Lurigancho,1176583,19.4,36180,307.5,1375,1192,7811,12494,4727,45,8536
150132,2025,San Juan de Lurigancho,1176583,19.4,30622,260.26,1430,1413,6060,11449,2968,55,7247
150132,2026,San Juan de Lurigancho,1176583,19.4,17060,145.0,744,446,2994,7160,1413,34,4269
150133,2018,San Juan de Miraflores,417763,15.5,9592,229.6,114,18,2256,2563,2010,18,2613
150133,2019,San Juan de Miraflores,417763,15.5,9401,225.03,120,20,1743,2766,1326,7,3419
150133,2020,San Juan de Miraflores,417763,15.5,6760,161.81,111,13,913,2166,541,11,3005
150133,2021,San Juan de Miraflores,417763,15.5,9214,220.56,268,60,1582,3081,1269,13,2941
150133,2022,San Juan de Miraflores,417763,15.5,10934,261.73,342,334,1735,3755,1345,22,3401
150133,2023,San Juan de Miraflores,417763,15.5,13623,326.09,399,401,2670,3614,2945,23,3571
150133,2024,San Juan de Miraflores,417763,15.5,12873,308.14,356,272,2287,4116,2370,22,3450
150133,2025,San Juan de Miraflores,417763,15.5,10377,248.39,439,323,1320,4024,841,13,3417
150133,2026,San Juan de Miraflores,417763,15.5,5916,141.61,215,188,848,2147,407,16,2095
150134,2018,San Luis,61773,9.4,3228,522.56,64,1,833,1058,468,6,798
150134,2019,San Luis,61773,9.4,2839,459.59,49,5,840,887,449,2,607
150134,2020,San Luis,61773,9.4,1667,269.86,46,4,528,485,196,3,405
150134,2021,San Luis,61773,9.4,1949,315.51,98,5,580,625,209,2,430
150134,2022,San Luis,61773,9.4,1919,310.65,78,47,562,628,241,0,363
150134,2023,San Luis,61773,9.4,2304,372.98,88,61,702,530,505,1,417
150134,2024,San Luis,61773,9.4,2277,368.61,132,53,716,569,346,3,458
150134,2025,San Luis,61773,9.4,2408,389.81,146,64,770,689,161,4,574
150134,2026,San Luis,61773,9.4,1642,265.81,93,44,473,559,82,2,389
150135,2018,San Martín de Porres,764012,11.1,16716,218.79,138,32,3402,4573,3812,25,4734
150135,2019,San Martín de Porres,764012,11.1,15241,199.49,194,46,2708,4211,2946,35,5101
150135,2020,San Martín de Porres,764012,11.1,9385,122.84,253,51,1565,2867,1454,19,3176
150135,2021,San Martín de Porres,764012,11.1,10016,131.1,310,96,1584,3055,1563,14,3394
150135,2022,San Martín de Porres,764012,11.1,15544,203.45,501,470,2877,4431,3028,15,4222
150135,2023,San Martín de Porres,764012,11.1,21992,287.85,644,512,4611,4999,6088,27,5111
150135,2024,San Martín de Porres,764012,11.1,19689,257.71,817,341,4360,5308,4099,14,4750
150135,2025,San Martín de Porres,764012,11.1,15425,201.89,725,474,3705,4620,1727,18,4156
150135,2026,San Martín de Porres,764012,11.1,8876,116.18,355,158,2144,2635,807,7,2770
150136,2018,San Miguel,189301,4.5,3473,183.46,81,5,438,1682,192,1,1074
150136,2019,San Miguel,189301,4.5,4239,223.93,123,11,554,2208,199,4,1140
